[09/Dec/2024 00:15:13] INFO [django.utils.autoreload:668] Watching for file changes with StatReloader
[09/Dec/2024 00:15:13] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\allauth\templates with glob **/*.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\cloudinary\templates with glob **/*.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\templates with glob **/*.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\rest_framework\templates with glob **/*.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\locale with glob **/*.mo.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\cloudinary\locale with glob **/*.mo.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\cloudinary_storage\locale with glob **/*.mo.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\VolunteerAct\app_users\locale with glob **/*.mo.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\VolunteerAct\home\locale with glob **/*.mo.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\VolunteerAct\categories\locale with glob **/*.mo.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\VolunteerAct\comments\locale with glob **/*.mo.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\VolunteerAct\favourites\locale with glob **/*.mo.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\VolunteerAct\cities\locale with glob **/*.mo.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\VolunteerAct\tickets_events\locale with glob **/*.mo.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\allauth\locale with glob **/*.mo.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\allauth\account\locale with glob **/*.mo.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\allauth\socialaccount\providers\google\locale with glob **/*.mo.
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\AppData\Local\Programs\Python\Python311\Lib\email\mime\base.py first seen with mtime 1680642250.0
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1726062186.7313826
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\billiard\process.py first seen with mtime 1733086620.42095
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\AppData\Local\Programs\Python\Python311\Lib\asyncio\selector_events.py first seen with mtime 1680642250.0
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1726062186.2660747
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\networkx\algorithms\boundary.py first seen with mtime 1729419365.1974957
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\networkx\algorithms\isolate.py first seen with mtime 1729419365.2408154
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\celery\_state.py first seen with mtime 1733086622.9206333
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1726062183.1364918
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\celery\app\builtins.py first seen with mtime 1733086622.9436681
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\networkx\algorithms\shortest_paths\dense.py first seen with mtime 1729419365.631323
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\AppData\Local\Programs\Python\Python311\Lib\asyncio\locks.py first seen with mtime 1680642250.0
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\networkx\algorithms\centrality\dispersion.py first seen with mtime 1729419365.3904343
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\celery\utils\nodenames.py first seen with mtime 1733086623.091634
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\networkx\algorithms\community\lukes.py first seen with mtime 1729419365.458197
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\networkx\algorithms\simple_paths.py first seen with mtime 1729419365.2639027
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\numpy\_core\fromnumeric.py first seen with mtime 1729417564.5073671
[09/Dec/2024 00:15:14] DEBUG [django.utils.autoreload:394] File C:\Users\DELL 5580\Documents\GitHub\VolunteerAct\venv\Lib\site-packages\networkx\algorithms\approximation\clustering_coefficient.py first seen with mtime 1729419365.286904
